"","Date","Location / Operator","Aircraft Type / Registration","Fatalities","year","month","day"
"3853","02 Jul 1986","Near Syktyvar, RussiaAeroflot","Tupolev TU-134ACCCP-65120","54/92(0)","1986","Jul","02"
"3854","10 Jul 1986","Maputo, MozambiqueMilitary - Zimbabwe Air Force","Douglas C-47A7312","17/17(0)","1986","Jul","10"
"3855","26 Jul 1986","Yosemite Nation, CaliforniaAir Taxi","Piper PA-32-260N3643W","3/6(0)","1986","Jul","26"
"3856","04 Aug 1986","Off St. Vincent, Leeward IslandsLeeward Islands Air Transport","de Havilland Canada DHC-6 Twin Otter 300V2-LCJ","13/13(0)","1986","Aug","04"
"3857","14 Aug 1986","Near Wampusirpi, HondurasMilitary - Honduran Air Force","Lockheed C130D556","59/59(0)","1986","Aug","14"
"3858","16 Aug 1986","Malakal, SudanSudan Airways","Fokker F-27 Friendship 400MST-ADY","60/60(0)","1986","Aug","16"
"3859","21 Aug 1986","Frenchglen, OregonAir Taxi","Cessna T207AN73569","6/6(0)","1986","Aug","21"
"3860","28 Aug 1986","Texarkana, ArkansasSouthwest Airlift","Howard 250N252K","2/2(0)","1986","Aug","28"
"3861","28 Aug 1986","Lander, WyomingDenver Air Center","Cessna 441 ConquestN2727A","7/7(0)","1986","Aug","28"
"3862","31 Aug 1986","Cerritos, CaliforniaAeromexico / Private","MD Douglas DC-9-32 / Piper PA-28-181XA-JED/N4891F","67/67(15)","1986","Aug","31"
"3863","03 Sep 1986","Tullamarine, VIC, AustraliaPeninsula Air Services","Cessna 402VH-RED","6/6(0)","1986","Sep","03"
"3864","05 Sep 1986","Karachi, PakistanPan American World Airways","Boeing B-747-121N656PA","16/384(1)","1986","Sep","05"
"3865","09 Sep 1986","Hopkinsville, KentuckyMilitary - U.S. Air Force","Lockheed C-130A Hercules56-0468","3/4(0)","1986","Sep","09"
"3866","14 Sep 1986","Amsterdam, NetherlandsKondair","Britten-Norman BN-2A TrislanderG-BDTP","1/1(0)","1986","Sep","14"
"3867","19 Sep 1986","Near Mantiqueira, BrazilAtlantic Southeast Airlines","Embraer 120RT BrasiliaN219AS","5/5(0)","1986","Sep","19"
"3868","03 Oct 1986","Near Manado, IndonesiaEast Indonesia Air Taxi","Shorts SC-7 Skyvan 3-200PK-ESC","13/13(0)","1986","Oct","03"
"3869","04 Oct 1986","San Antonio, TexasSouthern Air Transport","Lockheed L-100-30 HerculesN15ST","3/3(0)","1986","Oct","04"
"3870","14 Oct 1986","Ust-Maya, USSRAeroflot","LET 410MT TurbojetCCCP-67264","14/14(0)","1986","Oct","14"
