"","lon","lat","lon","lat"
"413",-52.3306887,-31.7158227,-51.1753811,-29.9934732
"414",NA,NA,NA,NA
"415",18.2342148,45.9936821,19.2522958,47.4384587
"416",-122.3018264,47.5281657,-72.8868727,41.2678919
"417",12.5933595,41.8000198,7.2148214,43.6597689
"418",-66.0979253,18.4557613,-80.2870509,25.7958723
"419",-3.5675982,40.4983322,2.0832941,41.297445
"420",12.5933595,41.8000198,23.9484156,37.9356467
"421",73.585419,68.442055,57.216667,65.15
"422",121.455295,31.166504,113.9184808,22.308047
"423",-74.1444969,4.7014128,-74.776425,10.8866016
"424",NA,NA,-70.4408664,-23.4488185
"425",121.808273,31.1443439,121.552699,25.067566
"426",-82.410078,22.9915431,-80.2870509,25.7958723
"427",9.276308,45.452176,4.4855744,50.900999
"428",103.9492936,30.567456,121.808273,31.1443439
"429",4.7682744,52.3105386,14.2631811,50.101791
"430",-96.8512063,32.8481029,-110.9392269,32.1145102
"431",67.1681027,24.9007815,74.4105177,31.5205412
"432",-112.0077881,33.4372686,-118.40853,33.9415889
"433",150.8985596,65.7403796,153.728674,67.437307
"434",7.2148214,43.6597689,2.437202,48.9614725
"435",144.9014875,-37.7264098,144.95166,-35.56
"436",-139.6686314,59.5099391,-131.5722199,55.036667
"437",41.9142433,43.7722179,41.0234153,43.0015252
"438",4.7682744,52.3105386,-4.6110967,55.5090453
"439",50.0523162,40.4650578,44.964349,41.6696083
"440",31.3713164,21.7991419,32.5522355,15.5927666
"441",77.0999578,28.5561624,88.4463299,22.6520429
"442",-74.0615292,40.858332,-80.2786043,25.7819729
"443",10.6286999,59.8995185,10.794242,63.4108295
"444",75.003357,46.89077,73.3344441,49.670833
"445",-25.1656641,36.9742197,NA,NA
"446",-73.7454814,45.4656851,-73.1516037,44.4706939
"447",23.9484156,37.9356467,22.9716758,40.5204227
"448",-43.1648755,-22.9111438,-45.0446092,-22.090999
"449",NA,NA,NA,NA
"450",38.0607605,55.6228593,36.279988,49.92183
"451",82.9066012,55.0829279,73.316533,54.957801
"452",153.083,-27.433,151.1752764,-33.9399228
"453",27.3939172,-7.2887721,27.530833,-11.591111
"454",-87.9073214,41.9741625,-93.2222846,44.8847554
"455",103.7082201,1.3876597,79.8873786,6.8226664
"456",-73.7454814,45.4656851,-60.051929,46.168654
"457",-61.0589981,14.598294,-17.0332746,20.9226291
"458",NA,NA,87.9348222,65.7980681
"459",-3.3614532,55.950785,-0.4171726,51.5540305
"460",-122.4194155,37.7749295,-122.33983,47.628574
"461",120.3831232,36.2666745,117.2160034,36.8572006
"462",31.3713164,21.7991419,NA,NA
"463",-62.9555318,49.5495194,-64.4765246,48.7780874
"464",113.559097,22.197085,113.9184808,22.308047
"465",NA,NA,2.3652472,48.7262433
"466",106.6588245,10.8184631,108.36818,11.750342
"467",4.7682744,52.3105386,-0.4171726,51.5540305
"468",-94.5779807,18.1024782,-99.0719083,19.4360762
"469",9.276308,45.452176,4.4855744,50.900999
"470",27.8271139,43.236797,23.4071233,42.6934278
"471",NA,NA,-67.0053373,10.5972583
"472",NA,NA,NA,NA
"473",-87.7521884,41.7867759,-73.8739659,40.7769271
"474",6.1091564,46.2370097,4.7682744,52.3105386
