"","lon","lat"
"424",-70.4408664,-23.4488185
"425",121.5654177,25.0329694
"426",-82.410078,22.9915431
"427",9.276308,45.452176
"428",NA,NA
"429",14.2631811,50.101791
"430",-107.317518,32.2253687
"431",72.3440685,30.0441544
"432",-118.40853,33.9415889
"433",124.123753,66.7613451
"434",2.3652472,48.7262433
"435",144.583333,-37.4
"436",-136.6483333,58.2113889
"437",39.837405,44.2822838
"438",-4.6110967,55.5090453
"439",47.1500324,40.6196638
"440",31.3713164,21.7991419
"441",77.0999578,28.5561624
"442",-81.6584828,28.3218894
"443",10.794242,63.4108295
"444",74.9809805,46.8435126
"445",-25.1656641,36.9742197
"446",-73.1516037,44.4706939
"447",20.9715269,42.0069115
"448",-43.7706811,-21.2219344
"449",112.7520883,-7.2574719
"450",38.0607605,55.6228593
"451",82.9066012,55.0829279
"452",150.68,-31.508056
"453",NA,NA
"454",-88.7878678,43.7844397
"455",103.7082201,1.3876597
"456",-60.051929,46.168654
"457",-17.4676861,14.716677
"458",87.9348222,65.7980681
"459",-0.801134,52.2969869
"460",-58.3815591,-34.6036844
"461",120.3831232,36.2666745
"462",31.3713164,21.7991419
"463",-64.210583,48.865149
"464",NA,NA
"465",2.3652472,48.7262433
"466",108.0954351,11.5346745
"467",-0.428278,51.610289
"468",-97.2680761,19.0303819
"469",4.6320416,51.0057936
"470",28.9783589,41.0082376
"471",-67.0053373,10.5972583
"472",13.0029274,47.7926466
"473",-76.4118961,40.7970312
"474",4.7682744,52.3105386
"475",16.8718715,41.1171432
"476",4.031696,49.258329
"477",150.8301413,59.5611525
"478",123.9802214,10.3106556
"479",29.1506941,-27.452382
"480",NA,NA
"481",11.9486111,48.322498
"482",-84.0907246,9.9280694
"483",114.2012017,57.854032
"484",135.1689898,48.5242969
"485",-6.4923145,54.7877149
"486",146.726111,-6.5697219
"487",-8.9146911,52.6996573
"488",11.7750279,48.3536621
"489",13.1671038,52.4887434
"490",9.119825,42.230243
"491",-73.685875,5.1473639
"492",-46.5811,-23.328819
"493",-144.1288889,62.2138889
"494",-87.7521884,41.7867759
"495",-95.8838659,36.198778
"496",120.4357631,-1.6468883
"497",65.8390579,66.79789
"498",-0.4542955,51.4700223
"499",126.2467484,6.9437633
"500",-71.9786626,8.1338118
"501",10.4756991,43.5915707
"502",9.1929424,50.5760021
"503",107.4783823,-6.8436457
"504",-81.4914894,31.1499528
"505",72.8567534,19.0931403
"506",-28.6731465,-14.5994134
"507",-120.3601496,36.139678
"508",-71.0095602,42.3656132
"509",123.496524,41.6352665
"510",-76.9897278,38.8033178
"511",-70.0250065,18.7727461
"512",-81.1027895,32.0718473
"513",-0.421236,51.5758719
"514",2.4497721,48.9864632
